	id	name	emissions
0	AFG	Afghanistan	97.4
1	ALB	Albania	10.1
2	DZA	Algeria	213.04
3	AND	Andorra	0.1
4	AGO	Angola	177.84000000000003
5	ATG	Antigua and Barbuda	0.94
6	ARG	Argentina	484.52
7	ARM	Armenia	9.350000000000001
8	AUS	Australia	574.0200000000001
9	AUT	Austria	75.73
10	AZE	Azerbaijan	73.17999999999999
11	BHS	Bahamas	2.8599999999999994
12	BHR	Bahrain	49.35000000000001
13	BGD	Bangladesh	215.2
14	BRB	Barbados	4.1499999999999995
15	BLR	Belarus	84.92999999999999
16	BEL	Belgium	111.94000000000001
17	BLZ	Belize	5.010000000000001
18	BEN	Benin	28.009999999999998
19	BTN	Bhutan	-1.3599999999999997
20	BOL	Bolivia	152.34999999999997
21	BIH	Bosnia and Herzegovina	27.62
22	BWA	Botswana	76.1
23	BRA	Brazil	1418.56
24	BRN	Brunei	17.04
25	BGR	Bulgaria	47.43
26	BFA	Burkina Faso	38.4
27	BDI	Burundi	7.590000000000001
28	KHM	Cambodia	66.16999999999999
29	CMR	Cameroon	210.28
30	CAN	Canada	812.8399999999999
31	CPV	Cape Verde	0.78
32	CAF	Central African Republic	76.1
33	TCD	Chad	106.78
34	CHL	Chile	7.1600000000000055
35	CHN	China	11924.050000000001
36	COL	Colombia	220.91
37	COM	Comoros	0.67
38	COK	Cook Islands	0.13999999999999999
39	CRI	Costa Rica	5.54
40	CIV	C̫te d'Ivoire	32.5
41	HRV	Croatia	20.55
42	CUB	Cuba	29.36
43	CYP	Cyprus	9.37
44	CZE	Czech Republic	113.83
45	COD	Democratic Republic of the Congo	224.76
46	DNK	Denmark	49.11000000000001
47	DJI	Djibouti	1.5
48	DMA	Dominica	0.37
49	DOM	Dominican Republic	30.14
50	ECU	Ecuador	99.86
51	EGY	Egypt	327.26000000000005
52	SLV	El Salvador	13.34
53	GNQ	Equatorial Guinea	24.24
54	ERI	Eritrea	8.07
55	EST	Estonia	20.54
56	SWZ	Eswatini	3.29
57	ETH	Ethiopia	188.26
58	EU	European Union (27)	3369.81
59	FJI	Fiji	0.12
60	FIN	Finland	63.15999999999999
61	FRA	France	378.32
62	GAB	Gabon	-85.67000000000002
63	GMB	Gambia	2.1900000000000004
64	GEO	Georgia	17.580000000000002
65	DEU	Germany	821.8900000000001
66	GHA	Ghana	54.059999999999995
67	GRC	Greece	89.12
68	GRD	Grenada	2.34
69	GTM	Guatemala	43.19999999999999
70	GIN	Guinea	42.99
71	GNB	Guinea-Bissau	4.12
72	GUY	Guyana	37.099999999999994
73	HTI	Haiti	9.14
74	HND	Honduras	51.23
75	HUN	Hungary	65.12
76	ISL	Iceland	4.3999999999999995
77	IND	India	3402.2899999999995
78	IDN	Indonesia	2287.1600000000003
79	IRN	Iran	896.0399999999998
80	IRQ	Iraq	200.83
81	IRL	Ireland	68.45
82	ISR	Israel	94.29
83	ITA	Italy	388.35
84	JAM	Jamaica	9.91
85	JPN	Japan	1270.49
86	JOR	Jordan	38.08
87	KAZ	Kazakhstan	284.37
88	KEN	Kenya	47.88
89	KIR	Kiribati	0.11
90	KWT	Kuwait	114.33
91	KGZ	Kyrgyzstan	15.56
92	LAO	Laos	55.69
93	LVA	Latvia	-1.619999999999998
94	LBN	Lebanon	30.560000000000002
95	LSO	Lesotho	3.83
96	LBR	Liberia	10.67
97	LBY	Libya	96.61999999999999
98	LIE	Liechtenstein	0.03
99	LTU	Lithuania	18.09
100	LUX	Luxembourg	11.71
101	MKD	Macedonia	11.08
102	MDG	Madagascar	56.17
103	MWI	Malawi	22.02
104	MYS	Malaysia	167.30999999999997
105	MDV	Maldives	2.02
106	MLI	Mali	50.03
107	MLT	Malta	2.43
108	MHL	Marshall Islands	0.22
109	MRT	Mauritania	12.89
110	MUS	Mauritius	6.929999999999999
111	MEX	Mexico	706.43
112	FSM	Micronesia	0.24000000000000002
113	MDA	Moldova	12.349999999999998
114	MNG	Mongolia	71.03
115	MNE	Montenegro	3.6099999999999994
116	MAR	Morocco	96.58
117	MOZ	Mozambique	75.78
118	MMR	Myanmar	236.62
119	NAM	Namibia	23.01
120	NRU	Nauru	0.09000000000000001
121	NPL	Nepal	65.22
122	NLD	Netherlands	202.25
123	NZL	New Zealand	69.84
124	NIC	Nicaragua	20.35
125	NER	Niger	44.63999999999999
126	NGA	Nigeria	484.81
127	NIU	Niue	0.05
128	PRK	North Korea	60.05
129	NOR	Norway	25.909999999999997
130	OMN	Oman	79.28
131	PAK	Pakistan	445.81
132	PLW	Palau	0.37
133	PAN	Panama	28.48
134	PNG	Papua New Guinea	66.15
135	PRY	Paraguay	196.49999999999997
136	PER	Peru	169.79
137	PHL	Philippines	171.11000000000004
138	POL	Poland	376.44999999999993
139	PRT	Portugal	77.58
140	QAT	Qatar	106.4
141	COG	Republic of Congo	48.49
142	ROU	Romania	-53.72000000000001
143	RUS	Russia	2489.0
144	RWA	Rwanda	6.390000000000001
145	KNA	Saint Kitts and Nevis	0.37
146	LCA	Saint Lucia	0.71
147	VCT	Saint Vincent and the Grenadines	0.36
148	WSM	Samoa	0.71
149	STP	Sao Tome and Principe	0.18
150	SAU	Saudi Arabia	666.4000000000001
151	SEN	Senegal	35.58
152	SRB	Serbia	64.11
153	SYC	Seychelles	0.8300000000000001
154	SLE	Sierra Leone	13.240000000000002
155	SGP	Singapore	90.98
156	SVK	Slovakia	35.74999999999999
157	SVN	Slovenia	11.45
158	SLB	Solomon Islands	2.7699999999999996
159	SOM	Somalia	39.92
160	ZAF	South Africa	524.87
161	KOR	South Korea	686.7900000000001
162	SDS	South Sudan	209.72000000000003
163	ESP	Spain	318.26
164	LKA	Sri Lanka	40.42999999999999
165	SDN	Sudan	154.19
166	SUR	Suriname	7.949999999999999
167	SWE	Sweden	48.32
168	CHE	Switzerland	50.92
169	SYR	Syria	47.25
170	TJK	Tajikistan	14.600000000000001
171	TZA	Tanzania	321.57000000000005
172	THA	Thailand	453.34999999999997
173	TLS	Timor-Leste	12.509999999999996
174	TGO	Togo	13.290000000000001
175	TON	Tonga	0.36
176	TTO	Trinidad and Tobago	23.29
177	TUN	Tunisia	42.78999999999999
178	TUR	Turkey	457.6
179	TKM	Turkmenistan	127.58
180	TUV	Tuvalu	0.04
181	UGA	Uganda	80.51
182	UKR	Ukraine	262.27
183	ARE	United Arab Emirates	293.17
184	GBR	United Kingdom	486.72
185	USA	United States	5886.610000000001
186	URY	Uruguay	26.279999999999998
187	UZB	Uzbekistan	220.26000000000002
188	VUT	Vanuatu	0.8700000000000001
189	VEN	Venezuela	339.02
190	VNM	Vietnam	323.57
191	WOR	World	50948.98
192	YEM	Yemen	22.19
193	ZMB	Zambia	496.20000000000005
194	ZWE	Zimbabwe	67.03999999999999
